id;code_1;code_2;tauxchange
1;Argentine Peso foreground users;calculating;86259
2;logistical;visualize;97954
3;Direct bandwidth;Intelligent;20645
4;Drives grey Berkshire;exploit Licensed Frozen Ball compress;26338
5;Afghani;Gorgeous turquoise;4100
6;National Configurable;Personal Loan Account Bedfordshire;99215
7;users aggregate invoice;maximize value-added sensor;37013
8;collaboration encoding Car;1080p Cotton Outdoors;49014
9;Guadeloupe composite;systemic;32992
10;Future Money Market Account global;morph;49379
